ImageID,accessibility_score
262,0.3481488968031698
456,0.6407928792605542
562,0.4010618491056892
631,0.6632897824421132
669,0.5152014329560112
997,0.2399946973574842
1777,0.4191168034016258
2022,0.26765425973597445
2080,0.8554089419482039
2377,0.6892408397576266
2697,0.43407712083489003
3047,0.8804042379201924
3128,0.788959416168767
3172,0.44285010751090104
3430,0.30521054047691115
3850,0.7235295657067164
4765,0.503264454692975
5518,0.343304208128015
5941,0.2844217249738892
7061,0.3845289802212666
7558,0.3676309564892143
11350,0.789151863749533
11707,0.60395343728099
12344,0.3121865333816213
12830,0.16960054775206396
15148,0.5648880441333273
16482,0.763713068267036
24214,0.7491532834797263
26619,0.40715060831944844
36038,0.5504050984315968
39006,0.8880703804399698
39245,0.8207087674901217
44798,0.6140664754149772
46135,0.5397333225163414
46864,0.5183077999249994
100492,0.6147737082254285
139731,0.30366448895166986
141806,0.6209397335611264
145241,0.507507952534312
156512,0.7034790207168121
168483,0.7110078857234795
175408,0.43365111655899663
176648,0.4263772149836245
191179,0.589013303844495
191782,0.7069429562161653
197213,0.23715981961681182
208754,0.37315573885357456
209069,0.5458856883697338
229205,0.31094732218752125
258182,0.9178098505755277
264820,0.7236537969093195
273517,0.6190994104284891
